MWR,01.00
53910,106.2000,35.6633,+2845.2,TK001,16,83
Record,DateTime,10,SurTem(��),SurHum(%),SurPre(hPa),Tir(��),Rain,CloudBase(km),Vint(mm),Lqint(mm),0.000(km),0.025(km),0.050(km),0.075(km),0.100(km),0.125(km),0.150(km),0.175(km),0.200(km),0.225(km),0.250(km),0.275(km),0.300(km),0.325(km),0.350(km),0.375(km),0.400(km),0.425(km),0.450(km),0.475(km),0.500(km),0.550(km),0.600(km),0.650(km),0.700(km),0.750(km),0.800(km),0.850(km),0.900(km),0.950(km),1.000(km),1.050(km),1.100(km),1.150(km),1.200(km),1.250(km),1.300(km),1.350(km),1.400(km),1.450(km),1.500(km),1.550(km),1.600(km),1.650(km),1.700(km),1.750(km),1.800(km),1.850(km),1.900(km),1.950(km),2.000(km),2.250(km),2.500(km),2.750(km),3.000(km),3.250(km),3.500(km),3.750(km),4.000(km),4.250(km),4.500(km),4.750(km),5.000(km),5.250(km),5.500(km),5.750(km),6.000(km),6.250(km),6.500(km),6.750(km),7.000(km),7.250(km),7.500(km),7.750(km),8.000(km),8.250(km),8.500(km),8.750(km),9.000(km),9.250(km),9.500(km),9.750(km),10.000(km),QCflag
525,2026-03-03 20:34:15,11,17.60,100.00,979.20,39.50,1,0.30,48.14,4.86,17.600,17.599,17.508,17.506,17.501,17.421,17.421,17.413,17.395,17.314,17.297,17.269,17.294,17.227,17.222,17.203,17.124,17.132,17.170,17.070,17.078,16.998,16.938,16.909,16.748,16.652,16.547,16.404,16.343,16.186,16.063,15.987,15.820,15.736,15.526,15.453,15.338,15.259,15.021,14.758,14.485,14.330,14.049,13.757,13.598,13.315,13.114,12.827,12.585,12.376,12.142,10.976,9.761,8.539,7.359,5.995,4.676,3.271,1.987,0.623,-0.678,-2.054,-3.460,-4.775,-6.074,-7.453,-9.021,-10.456,-11.996,-13.498,-14.962,-16.508,-18.063,-19.827,-21.560,-23.218,-24.997,-26.684,-28.406,-30.118,-31.838,-33.679,-35.522,0
526,2026-03-03 20:34:15,12,17.60,100.00,979.20,39.50,1,0.30,48.14,4.86,14.994,14.992,14.912,14.910,14.906,14.834,14.835,14.827,14.787,14.730,14.681,14.587,14.558,14.517,14.456,14.414,14.308,14.296,14.309,14.214,14.171,14.094,13.968,13.995,13.819,13.687,13.602,13.437,13.358,13.181,13.055,12.965,12.797,12.698,12.534,12.427,12.306,12.183,11.981,11.745,11.511,11.368,11.131,10.914,10.768,10.582,10.392,10.172,10.033,9.841,9.685,8.882,8.088,7.465,6.836,6.265,5.730,5.217,4.765,4.343,3.952,3.545,3.160,2.847,2.570,2.288,1.947,1.678,1.441,1.236,1.059,0.900,0.760,0.628,0.518,0.432,0.352,0.289,0.235,0.192,0.156,0.126,0.102,0
527,2026-03-03 20:34:15,13,17.60,100.00,979.20,39.50,1,0.30,48.14,4.86,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.842,99.929,99.707,99.232,98.883,99.001,98.620,98.444,98.180,98.054,97.917,97.854,97.508,97.440,96.924,97.273,96.987,96.618,96.623,96.280,96.067,95.686,95.487,95.261,94.982,94.728,94.705,94.313,94.046,93.556,93.342,92.982,92.662,92.388,92.031,91.866,91.532,91.538,91.013,90.683,90.797,90.230,90.095,88.885,87.408,87.222,86.188,86.341,86.139,86.132,85.789,85.806,86.002,86.049,85.877,86.100,86.458,86.284,83.763,81.508,79.883,78.064,76.084,74.168,72.066,69.869,67.764,65.996,63.577,61.490,59.190,57.294,55.311,53.815,53.194,0
528,2026-03-03 20:34:15,14,17.60,100.00,979.20,39.50,1,0.30,48.14,4.86,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.011,0.043,0.114,0.166,0.148,0.204,0.230,0.267,0.286,0.307,0.314,0.365,0.373,0.447,0.395,0.433,0.483,0.479,0.523,0.551,0.599,0.622,0.650,0.681,0.712,0.706,0.755,0.785,0.846,0.861,0.893,0.919,0.944,0.971,0.973,1.003,0.985,1.033,1.052,1.024,1.073,1.072,1.118,1.172,1.100,1.102,0.996,0.927,0.844,0.793,0.721,0.646,0.577,0.521,0.461,0.404,0.365,0.378,0.381,0.364,0.348,0.333,0.314,0.295,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
529,2026-03-03 20:34:30,11,17.60,100.00,979.60,47.29,0,0.30,52.41,3.52,17.600,17.599,17.508,17.506,17.501,17.421,17.421,17.413,17.395,17.314,17.297,17.269,17.294,17.227,17.222,17.203,17.124,17.132,17.170,17.070,17.078,16.998,16.938,16.909,16.748,16.652,16.547,16.404,16.343,16.186,16.063,15.987,15.820,15.736,15.526,15.453,15.338,15.259,15.021,14.758,14.485,14.330,14.049,13.757,13.598,13.315,13.114,12.827,12.585,12.376,12.142,10.976,9.761,8.539,7.359,5.995,4.676,3.271,1.987,0.623,-0.678,-2.054,-3.460,-4.775,-6.074,-7.453,-9.021,-10.456,-11.996,-13.498,-14.962,-16.508,-18.063,-19.827,-21.560,-23.218,-24.997,-26.684,-28.406,-30.118,-31.838,-33.679,-35.522,0
530,2026-03-03 20:34:30,12,17.60,100.00,979.60,47.29,0,0.30,52.41,3.52,14.994,14.992,14.912,14.910,14.906,14.834,14.835,14.827,14.811,14.740,14.724,14.700,14.722,14.663,14.659,14.642,14.564,14.556,14.595,14.500,14.498,14.427,14.351,14.366,14.222,14.117,14.035,13.894,13.835,13.695,13.566,13.504,13.357,13.272,13.124,13.049,12.952,12.851,12.654,12.390,12.150,11.983,11.735,11.505,11.342,11.129,10.932,10.698,10.521,10.328,10.149,9.259,8.385,7.667,6.965,6.364,5.814,5.286,4.823,4.394,3.990,3.576,3.189,2.867,2.583,2.295,1.946,1.673,1.428,1.216,1.035,0.871,0.735,0.613,0.510,0.430,0.354,0.294,0.242,0.201,0.165,0.134,0.110,0
531,2026-03-03 20:34:30,13,17.60,100.00,979.60,47.29,0,0.30,52.41,3.52,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.939,99.833,99.871,99.820,99.757,99.745,99.578,99.858,99.813,99.656,99.701,99.555,99.494,99.419,99.221,99.220,99.139,99.008,99.164,99.032,98.985,98.682,98.581,98.089,97.810,97.381,97.021,96.841,96.415,96.269,95.746,95.372,95.209,94.695,94.418,92.661,90.620,89.581,87.808,87.697,87.400,87.264,86.837,86.814,86.825,86.798,86.663,86.703,86.905,86.538,83.717,81.266,79.194,76.786,74.311,71.816,69.671,68.230,66.692,65.600,63.994,62.604,61.064,60.012,58.649,57.624,57.115,0
532,2026-03-03 20:34:30,14,17.60,100.00,979.60,47.29,0,0.30,52.41,3.52,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.024,0.019,0.026,0.036,0.037,0.061,0.021,0.027,0.049,0.042,0.063,0.071,0.081,0.107,0.107,0.117,0.134,0.112,0.129,0.134,0.173,0.184,0.243,0.274,0.325,0.363,0.378,0.425,0.434,0.489,0.523,0.533,0.583,0.604,0.738,0.873,0.897,0.972,0.897,0.842,0.775,0.734,0.670,0.608,0.546,0.492,0.441,0.390,0.358,0.379,0.386,0.376,0.368,0.358,0.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
533,2026-03-03 20:34:45,11,17.60,100.00,979.70,29.00,0,0.30,54.14,3.46,17.600,17.599,17.508,17.506,17.501,17.421,17.421,17.413,17.395,17.314,17.297,17.269,17.294,17.227,17.222,17.203,17.124,17.132,17.170,17.070,17.078,16.998,16.938,16.909,16.748,16.652,16.547,16.404,16.343,16.186,16.063,15.987,15.820,15.736,15.526,15.453,15.338,15.259,15.021,14.758,14.485,14.330,14.049,13.757,13.598,13.315,13.114,12.827,12.585,12.376,12.142,10.976,9.761,8.539,7.359,5.995,4.676,3.271,1.987,0.623,-0.678,-2.054,-3.460,-4.775,-6.074,-7.453,-9.021,-10.456,-11.996,-13.498,-14.962,-16.508,-18.063,-19.827,-21.560,-23.218,-24.997,-26.684,-28.406,-30.118,-31.838,-33.679,-35.522,0
534,2026-03-03 20:34:45,12,17.60,100.00,979.70,29.00,0,0.30,54.14,3.46,14.994,14.992,14.912,14.910,14.906,14.834,14.835,14.827,14.811,14.740,14.724,14.700,14.722,14.663,14.659,14.642,14.573,14.577,14.614,14.518,14.529,14.444,14.377,14.371,14.233,14.134,14.043,13.905,13.843,13.715,13.571,13.514,13.371,13.275,13.132,13.060,12.966,12.860,12.663,12.391,12.156,11.983,11.737,11.512,11.345,11.127,10.934,10.700,10.513,10.328,10.144,9.247,8.371,7.637,6.933,6.344,5.813,5.298,4.852,4.434,4.036,3.627,3.247,2.928,2.646,2.355,1.996,1.715,1.459,1.238,1.049,0.880,0.741,0.619,0.515,0.434,0.358,0.298,0.246,0.204,0.168,0.138,0.113,0
